[Name]
inlet

[Spatial Fields]
y

[Data]
y[m],Velocity u [m/s],Velocity v [m/s],Velocity w [m/s]
0.000000,0.000000,0.0,0.0
0.000410,0.001200,0.0,0.0
0.000821,0.002398,0.0,0.0
0.001231,0.003593,0.0,0.0
0.001642,0.004786,0.0,0.0
0.002052,0.005976,0.0,0.0
0.002462,0.007164,0.0,0.0
0.002873,0.008349,0.0,0.0
0.003283,0.009533,0.0,0.0
0.003694,0.010713,0.0,0.0
0.004104,0.011892,0.0,0.0
0.004515,0.013068,0.0,0.0
0.004925,0.014241,0.0,0.0
0.005335,0.015412,0.0,0.0
0.005746,0.016581,0.0,0.0
0.006156,0.017747,0.0,0.0
0.006567,0.018911,0.0,0.0
0.006977,0.020073,0.0,0.0
0.007387,0.021232,0.0,0.0
0.007798,0.022389,0.0,0.0
0.008208,0.023543,0.0,0.0
0.008619,0.024695,0.0,0.0
0.009029,0.025844,0.0,0.0
0.009439,0.026992,0.0,0.0
0.009850,0.028136,0.0,0.0
0.010260,0.029279,0.0,0.0
0.010671,0.030418,0.0,0.0
0.011081,0.031556,0.0,0.0
0.011491,0.032691,0.0,0.0
0.011902,0.033824,0.0,0.0
0.012312,0.034954,0.0,0.0
0.012723,0.036082,0.0,0.0
0.013133,0.037207,0.0,0.0
0.013544,0.038330,0.0,0.0
0.013954,0.039451,0.0,0.0
0.014364,0.040569,0.0,0.0
0.014775,0.041685,0.0,0.0
0.015185,0.042798,0.0,0.0
0.015596,0.043909,0.0,0.0
0.016006,0.045018,0.0,0.0
0.016416,0.046124,0.0,0.0
0.016827,0.047228,0.0,0.0
0.017237,0.048329,0.0,0.0
0.017648,0.049428,0.0,0.0
0.018058,0.050525,0.0,0.0
0.018468,0.051619,0.0,0.0
0.018879,0.052711,0.0,0.0
0.019289,0.053800,0.0,0.0
0.019700,0.054887,0.0,0.0
0.020110,0.055972,0.0,0.0
0.020521,0.057054,0.0,0.0
0.020931,0.058134,0.0,0.0
0.021341,0.059211,0.0,0.0
0.021752,0.060286,0.0,0.0
0.022162,0.061359,0.0,0.0
0.022573,0.062429,0.0,0.0
0.022983,0.063497,0.0,0.0
0.023393,0.064562,0.0,0.0
0.023804,0.065625,0.0,0.0
0.024214,0.066685,0.0,0.0
0.024625,0.067743,0.0,0.0
0.025035,0.068799,0.0,0.0
0.025445,0.069852,0.0,0.0
0.025856,0.070903,0.0,0.0
0.026266,0.071952,0.0,0.0
0.026677,0.072998,0.0,0.0
0.027087,0.074042,0.0,0.0
0.027497,0.075083,0.0,0.0
0.027908,0.076122,0.0,0.0
0.028318,0.077158,0.0,0.0
0.028729,0.078192,0.0,0.0
0.029139,0.079224,0.0,0.0
0.029550,0.080253,0.0,0.0
0.029960,0.081280,0.0,0.0
0.030370,0.082305,0.0,0.0
0.030781,0.083327,0.0,0.0
0.031191,0.084346,0.0,0.0
0.031602,0.085363,0.0,0.0
0.032012,0.086378,0.0,0.0
0.032422,0.087391,0.0,0.0
0.032833,0.088401,0.0,0.0
0.033243,0.089408,0.0,0.0
0.033654,0.090414,0.0,0.0
0.034064,0.091416,0.0,0.0
0.034474,0.092417,0.0,0.0
0.034885,0.093415,0.0,0.0
0.035295,0.094410,0.0,0.0
0.035706,0.095404,0.0,0.0
0.036116,0.096394,0.0,0.0
0.036527,0.097383,0.0,0.0
0.036937,0.098369,0.0,0.0
0.037347,0.099352,0.0,0.0
0.037758,0.100333,0.0,0.0
0.038168,0.101312,0.0,0.0
0.038579,0.102288,0.0,0.0
0.038989,0.103262,0.0,0.0
0.039399,0.104234,0.0,0.0
0.039810,0.105203,0.0,0.0
0.040220,0.106170,0.0,0.0
0.040631,0.107134,0.0,0.0
0.041041,0.108096,0.0,0.0
0.041451,0.109056,0.0,0.0
0.041862,0.110013,0.0,0.0
0.042272,0.110967,0.0,0.0
0.042683,0.111920,0.0,0.0
0.043093,0.112870,0.0,0.0
0.043504,0.113817,0.0,0.0
0.043914,0.114762,0.0,0.0
0.044324,0.115705,0.0,0.0
0.044735,0.116645,0.0,0.0
0.045145,0.117583,0.0,0.0
0.045556,0.118519,0.0,0.0
0.045966,0.119452,0.0,0.0
0.046376,0.120382,0.0,0.0
0.046787,0.121310,0.0,0.0
0.047197,0.122236,0.0,0.0
0.047608,0.123160,0.0,0.0
0.048018,0.124081,0.0,0.0
0.048428,0.124999,0.0,0.0
0.048839,0.125916,0.0,0.0
0.049249,0.126830,0.0,0.0
0.049660,0.127741,0.0,0.0
0.050070,0.128650,0.0,0.0
0.050480,0.129557,0.0,0.0
0.050891,0.130461,0.0,0.0
0.051301,0.131363,0.0,0.0
0.051712,0.132262,0.0,0.0
0.052122,0.133159,0.0,0.0
0.052533,0.134054,0.0,0.0
0.052943,0.134946,0.0,0.0
0.053353,0.135836,0.0,0.0
0.053764,0.136723,0.0,0.0
0.054174,0.137608,0.0,0.0
0.054585,0.138490,0.0,0.0
0.054995,0.139371,0.0,0.0
0.055405,0.140248,0.0,0.0
0.055816,0.141124,0.0,0.0
0.056226,0.141997,0.0,0.0
0.056637,0.142867,0.0,0.0
0.057047,0.143735,0.0,0.0
0.057457,0.144601,0.0,0.0
0.057868,0.145464,0.0,0.0
0.058278,0.146325,0.0,0.0
0.058689,0.147184,0.0,0.0
0.059099,0.148040,0.0,0.0
0.059510,0.148894,0.0,0.0
0.059920,0.149745,0.0,0.0
0.060330,0.150594,0.0,0.0
0.060741,0.151440,0.0,0.0
0.061151,0.152284,0.0,0.0
0.061562,0.153126,0.0,0.0
0.061972,0.153965,0.0,0.0
0.062382,0.154802,0.0,0.0
0.062793,0.155637,0.0,0.0
0.063203,0.156469,0.0,0.0
0.063614,0.157298,0.0,0.0
0.064024,0.158126,0.0,0.0
0.064434,0.158951,0.0,0.0
0.064845,0.159773,0.0,0.0
0.065255,0.160593,0.0,0.0
0.065666,0.161411,0.0,0.0
0.066076,0.162226,0.0,0.0
0.066486,0.163039,0.0,0.0
0.066897,0.163849,0.0,0.0
0.067307,0.164657,0.0,0.0
0.067718,0.165463,0.0,0.0
0.068128,0.166266,0.0,0.0
0.068539,0.167067,0.0,0.0
0.068949,0.167865,0.0,0.0
0.069359,0.168661,0.0,0.0
0.069770,0.169455,0.0,0.0
0.070180,0.170246,0.0,0.0
0.070591,0.171035,0.0,0.0
0.071001,0.171821,0.0,0.0
0.071411,0.172605,0.0,0.0
0.071822,0.173387,0.0,0.0
0.072232,0.174166,0.0,0.0
0.072643,0.174943,0.0,0.0
0.073053,0.175717,0.0,0.0
0.073463,0.176489,0.0,0.0
0.073874,0.177258,0.0,0.0
0.074284,0.178025,0.0,0.0
0.074695,0.178790,0.0,0.0
0.075105,0.179553,0.0,0.0
0.075516,0.180312,0.0,0.0
0.075926,0.181070,0.0,0.0
0.076336,0.181825,0.0,0.0
0.076747,0.182578,0.0,0.0
0.077157,0.183328,0.0,0.0
0.077568,0.184076,0.0,0.0
0.077978,0.184821,0.0,0.0
0.078388,0.185565,0.0,0.0
0.078799,0.186305,0.0,0.0
0.079209,0.187043,0.0,0.0
0.079620,0.187779,0.0,0.0
0.080030,0.188513,0.0,0.0
0.080440,0.189244,0.0,0.0
0.080851,0.189973,0.0,0.0
0.081261,0.190699,0.0,0.0
0.081672,0.191423,0.0,0.0
0.082082,0.192144,0.0,0.0
0.082492,0.192863,0.0,0.0
0.082903,0.193580,0.0,0.0
0.083313,0.194294,0.0,0.0
0.083724,0.195006,0.0,0.0
0.084134,0.195715,0.0,0.0
0.084545,0.196422,0.0,0.0
0.084955,0.197127,0.0,0.0
0.085365,0.197829,0.0,0.0
0.085776,0.198529,0.0,0.0
0.086186,0.199226,0.0,0.0
0.086597,0.199921,0.0,0.0
0.087007,0.200614,0.0,0.0
0.087417,0.201304,0.0,0.0
0.087828,0.201992,0.0,0.0
0.088238,0.202677,0.0,0.0
0.088649,0.203360,0.0,0.0
0.089059,0.204041,0.0,0.0
0.089469,0.204719,0.0,0.0
0.089880,0.205395,0.0,0.0
0.090290,0.206068,0.0,0.0
0.090701,0.206739,0.0,0.0
0.091111,0.207407,0.0,0.0
0.091522,0.208074,0.0,0.0
0.091932,0.208737,0.0,0.0
0.092342,0.209399,0.0,0.0
0.092753,0.210058,0.0,0.0
0.093163,0.210714,0.0,0.0
0.093574,0.211368,0.0,0.0
0.093984,0.212020,0.0,0.0
0.094394,0.212669,0.0,0.0
0.094805,0.213316,0.0,0.0
0.095215,0.213961,0.0,0.0
0.095626,0.214603,0.0,0.0
0.096036,0.215242,0.0,0.0
0.096446,0.215880,0.0,0.0
0.096857,0.216514,0.0,0.0
0.097267,0.217147,0.0,0.0
0.097678,0.217777,0.0,0.0
0.098088,0.218405,0.0,0.0
0.098498,0.219030,0.0,0.0
0.098909,0.219653,0.0,0.0
0.099319,0.220273,0.0,0.0
0.099730,0.220891,0.0,0.0
0.100140,0.221507,0.0,0.0
0.100551,0.222120,0.0,0.0
0.100961,0.222731,0.0,0.0
0.101371,0.223339,0.0,0.0
